1;VVGU;ВВГУ;Волго-вятское главное управление
2;UGU;УГУ;Уральское главное управление
3;SZGU;СЗГУ;Северо-западное главное управление
4;SGU;СГУ;Северное главное управление
5;DVGU;ДВГУ;Дальне-восточное главное управление
